"ID","Paper","System","D1","D2","D3","D4","D5","D6","D7"
"1","Wei et al.~\cite{wei2022chain}","Chain-of-Thought","Benchmark","Reasoning","Task-specific","Automated","Cross-model","Sng","AR"
"2","Kojima et al.~\cite{kojima2022large}","Zero-Shot CoT","Benchmark","Reasoning","Task-specific","Automated","Cross-model","Sng","AR"
"3","Wang et al.~\cite{wang2023selfconsistency}","Self-Consistency","Benchmark","Reasoning","Task-specific","Automated","Cross-model","Sng","AR"
"4","Yao et al.~\cite{yao2023tree}","Tree of Thoughts","Benchmark","Reasoning","Task-specific","Automated","Single-model","Sng","AR"
"5","Zhou et al.~\cite{leasttomost2022}","Least-to-Most","Benchmark","Reasoning","Task-specific","Automated","Cross-model","Sng","AR"
"6","Besta et al.~\cite{graphofthoughts2023}","Graph of Thoughts","Benchmark","Reasoning","Task-specific","Automated","Single-model","Sng","AR"
"7","Wang et al.~\cite{plansolve2023}","Plan-and-Solve","Benchmark","Reasoning","Task-specific","Automated","Single-model","Sng","AR"
"8","Lyu et al.~\cite{faithfulcot2023}","Faithful CoT","Benchmark","Reasoning","Task-specific","Automated","Cross-model","Sng","AR"
"9","Besta et al.~\cite{demystifying2024}","Chains/Trees/Graphs","Benchmark","Reasoning","Task-specific","Automated","Cross-model","NR","NR"
"10","Lewis et al.~\cite{lewis2020retrieval}","RAG","Benchmark","QA","Task-specific","Automated","Single-model","Sng","AR"
"11","Shin et al.~\cite{shin2020autoprompt}","AutoPrompt","Benchmark","QA, Reasoning","Task-specific","Automated","Single-model","Sng","AR"
"12","Agarwal et al.~\cite{manyshot2024}","Many-Shot ICL","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"13","Ouyang et al.~\cite{ouyang2022training}","InstructGPT / RLHF","Human eval","Multi-task","Hybrid","Human-in-loop","Single-model","Sng","NR"
"14","Wei et al.~\cite{wei2022flan}","FLAN","Benchmark","Multi-task","Task-specific","Automated","Single-model","Sng","AR"
"15","Li et al.~\cite{scoT2023}","Structured CoT","Benchmark","Code","Task-specific","Automated","Cross-model","Sng","AR"
"16","Ferr\~{a}o et al.~\cite{manualpromptnotdead2025}","Manual Prompt Study","Benchmark","Code","Task-specific","Hybrid","Single-model","Sng","AR"
"17","Agrawal et al.~\cite{gepa2025}","GEPA","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
